Event Number,City,Event Name,Latitude,Longitude,Popularity,Start Date,Start Time,Venue
1,"Norfolk, VA, US","Wale with Colin Munroe and J. Cole at The NorVa (April 7, 2009)",36.850247,-76.289459,0.240508,2009-04-07,None,The NorVa
2,"Boston, MA, US","Clipse with J. Cole at House of Blues (July 25, 2009)",42.3471727,-71.0957007,0.198233,2009-07-25,20:00:00,House of Blues
3,"Philadelphia, PA, US","Clipse with J. Cole at Starlight Ballroom (August 8, 2009)",39.9605743,-75.1532419,0.198233,2009-08-08,20:00:00,Starlight Ballroom
4,"University Park, PA, US","J. Cole with Jay-Z and N.E.R.D. at Bryce Jordan Center (October 9, 2009)",40.8035111,-77.8666435,0.435498,2009-10-09,20:00:00,Bryce Jordan Center
5,"Highland Heights, KY, US","Jay-Z, N.E.R.D., and J. Cole with Wale at BB&T Arena (October 10, 2009)",39.0317777,-84.463309,0.414758,2009-10-10,20:00:00,BB&T Arena
6,"Seattle, WA, US","Jay-Z, N.E.R.D., and J. Cole at KeyArena at Seattle Center (October 17, 2009)",47.6216358,-122.350699,0.416631,2009-10-17,20:00:00,KeyArena at Seattle Center
7,"Cleveland, OH, US","Jay-Z, N.E.R.D., and J. Cole at Wolstein Center, CSU (October 22, 2009)",41.5000912,-81.6759334,0.421155,2009-10-22,19:30:00,"Wolstein Center, CSU"
8,"Providence, RI, US","N.E.R.D. and J. Cole with Jay-Z at Dunkin Donuts Center (October 24, 2009)",41.823743,-71.418166,0.435498,2009-10-24,20:00:00,Dunkin Donuts Center
9,"Amherst, MA, US","N.E.R.D. and J. Cole with Jay-Z at Mullins Center, U Mass (October 25, 2009)",42.3911245,-72.5331953,0.435498,2009-10-25,20:00:00,"Mullins Center, U Mass"
10,"Baltimore, MD, US","J. Cole with Jay-Z and N.E.R.D. at Royal Farms Arena (October 27, 2009)",39.2884951,-76.6186943,0.435498,2009-10-27,19:00:00,Royal Farms Arena
11,"Columbus, OH, US","J. Cole with Jay-Z and N.E.R.D. at Value City Arena, Schottenstein Center (October 28, 2009)",40.0080079,-83.0249081,0.435498,2009-10-28,20:00:00,"Value City Arena, Schottenstein Center"
12,"Fresno, CA, US","Jay-Z and N.E.R.D. with J. Cole and Wale at Save Mart Center (November 7, 2009)",36.8086546,-119.7394542,0.411339,2009-11-07,20:00:00,Save Mart Center
13,"Los Angeles, CA, US","Jay-Z, N.E.R.D., and J. Cole at Pauley Pavilion, UCLA (November 8, 2009)",34.0737025,-118.4452703,0.435498,2009-11-08,19:30:00,"Pauley Pavilion, UCLA"
14,"Austin, TX, US","Jay-Z, N.E.R.D., and J. Cole at Frank Erwin Center, University of Texas (November 10, 2009)",30.276391,-97.732422,0.435498,2009-11-10,20:00:00,"Frank Erwin Center, University of Texas"
15,"Champaign, IL, US","N.E.R.D. and J. Cole with Jay-Z at State Farm Center (November 12, 2009)",40.096261,-88.236083,0.435498,2009-11-12,20:00:00,State Farm Center
16,"Lubbock, TX, US","Jay-Z, J. Cole, and N.E.R.D. at United Spirit Arena (November 17, 2009)",33.5885682,-101.8877717,0.435498,2009-11-17,20:00:00,United Spirit Arena
17,"Albuquerque, NM, US","Jay-Z, J. Cole, and N.E.R.D. at Tingley Coliseum (November 19, 2009)",35.0847282,-106.5743887,0.435498,2009-11-19,19:30:00,Tingley Coliseum
18,"El Paso, TX, US","Jay-Z, J. Cole, and N.E.R.D. at Don Haskins Center (November 20, 2009)",31.7772521,-106.5044652,0.411165,2009-11-20,20:00:00,Don Haskins Center
19,"Austin, TX, US","Jay-Z, N.E.R.D., and J. Cole at Frank Erwin Center, University of Texas (November 22, 2009)",30.276391,-97.732422,0.435498,2009-11-22,20:00:00,"Frank Erwin Center, University of Texas"
20,"Washington, DC, US","Wale and Remy with Wiz Khalifa, Fly Gypsy, and 2 more… at 9:30 Club (January 1, 2010)",38.9178658,-77.0237219,0.553532,2010-01-01,23:30:00,9:30 Club
21,"Houston, TX, US","J. Cole at Warehouse Live (January 23, 2010)",29.7521221,-95.3546736,0.198233,2010-01-23,00:00:00,Warehouse Live
22,"Austin, TX, US","J. Cole with Kevin Jack at Aces Lounge (January 24, 2010)",30.267715,-97.740471,0.198233,2010-01-24,21:00:00,Aces Lounge
23,"Atlanta, GA, US","J. Cole with Warm Up at The Loft (February 26, 2010)",33.7920338,-84.3879795,0.198233,2010-02-26,22:00:00,The Loft
24,"New York, NY, US","Trey Songz, Jay-Z, and J. Cole with Jeezy at Madison Square Garden (March 2, 2010)",40.7497096,-73.991556,0.391073,2010-03-02,20:00:00,Madison Square Garden
25,"Greensboro, NC, US","J. Cole at Greensboro Coliseum Complex (March 28, 2010)",36.0597573,-79.8256684,0.183007,2010-03-28,None,Greensboro Coliseum Complex
26,"Manhattan, NY, US","J. Cole at S.O.B.'s (March 30, 2010)",40.7284492,-74.0051241,0.248231,2010-03-30,21:00:00,S.O.B.'s
27,"Richmond, VA, US","J. Cole at Club 534 (April 2, 2010)",37.5515581,-77.4528962,0.275181,2010-04-02,None,Club 534
28,"Tampa, FL, US","J. Cole at University of South Florida (USF) (April 9, 2010)",28.0545713,-82.413227,0.232055,2010-04-09,None,University of South Florida (USF)
29,"Poughkeepsie, NY, US","J. Cole at Vassar College (April 17, 2010)",41.6865223,-73.8980969,0.162713,2010-04-17,None,Vassar College
30,"Montclair, NJ, US","J. Cole at Montclair State University (April 20, 2010)",40.8609869,-74.197648,0.264439,2010-04-20,None,Montclair State University
31,"Washington, DC, US","J. Cole at Howard University (April 21, 2010)",38.9224801,-77.0210777,0.162713,2010-04-21,None,Howard University
32,"Covington, KY, US","Reflection Eternal with J. Cole at Madison Theater (April 22, 2010)",39.082786,-84.509545,0.240508,2010-04-22,None,Madison Theater
33,"Queens, NY, US","J. Cole at St. John's University (April 23, 2010)",40.7243154,-73.7946081,0.162713,2010-04-23,None,St. John's University
34,"Piscataway, NJ, US","P.O.S, Brand New, Talib Kweli, J. Cole, and 2 more… at Yellow Lot, Livingston Campus (April 30, 2010)",40.52533,-74.43843,0.396425,2010-04-30,19:00:00,"Yellow Lot, Livingston Campus"
35,"Schenectady, NY, US","J. Cole at Union College (May 1, 2010)",42.8173121,-73.9263823,0.231478,2010-05-01,None,Union College
36,"New Haven, CT, US","J. Cole and Wale at Southern Connecticut State University (May 29, 2010)",41.3343121,-72.9519132,0.240508,2010-05-29,None,Southern Connecticut State University
37,"Mansfield, MA, US","J. Cole at Xfinity Center (June 5, 2010)",41.9944318,-71.2106493,0.188821,2010-06-05,None,Xfinity Center
38,"New Orleans, LA, US","Josh Golden and J. Cole with Cali Swag District, Kourtney Heart, and 2 more… at House of Blues (June 18, 2010)",29.9531604,-90.0661661,0.242696,2010-06-18,21:00:00,House of Blues
39,"Chicago, IL, US","J. Cole and Ryan Leslie with DJ Jazzy Jeff at Ravenswood Event Center (June 26, 2010)",41.9547182,-87.6736474,0.370276,2010-06-26,None,Ravenswood Event Center
40,"East Rutherford, NJ, US",Hot 97 Summer Jam 2010,40.8142092,-74.0736902,0.813874,2010-07-08,None,MetLife Stadium
41,"Chicago, IL, US",Lollapalooza 2010,41.87811,-87.6298,0.617007,2010-08-06,12:00:00,Unknown venue
42,"Atlanta, GA, US","J. Cole at The Loft (August 25, 2010)",33.7920338,-84.3879795,0.198233,2010-08-25,21:00:00,The Loft
43,"Boise, ID, US","Asher Roth with Jay Cole, Jeremih, and J. Cole at Knitting Factory (September 3, 2010)",43.6131935,-116.2073485,0.198233,2010-09-03,20:00:00,Knitting Factory
44,"Seattle, WA, US",Bumbershoot 2010,47.6062095,-122.3320708,0.828638,2010-09-04,20:00:00,Unknown venue
45,"Bronx, NY, US","Jay-Z with Eminem and J. Cole at Yankee Stadium (September 14, 2010)",40.8296504,-73.9294799,0.863105,2010-09-14,19:30:00,Yankee Stadium
