Event Number,City,Event Name,Latitude,Longitude,Popularity,Start Date,Start Time,Venue
1,"Mountain View, CA, US",Rolling Loud Festival 2017,37.42332,-122.07803,0.649488,2017-10-21,None,Shoreline Amphitheatre
2,"San Bernardino, CA, US",Rolling Loud Festival 2017,34.08973,-117.29406,0.326749,2017-12-16,13:00:00,NOS Events Center
3,"Minneapolis, MN, US","Trippie Redd with Tiiiiiiiiiip at Music Hall (January 13, 2018)",44.9804803,-93.2744249,0.008772,2018-01-13,19:00:00,Music Hall
4,"Santa Ana, CA, US","Trippie Redd at The Observatory (January 14, 2018)",33.6998449,-117.9194457,0.008894,2018-01-14,20:00:00,The Observatory
5,"Santa Ana, CA, US","Trippie Redd at The Observatory (January 14, 2018)",33.6998449,-117.9194457,0.008894,2018-01-14,23:00:00,The Observatory
6,"Los Angeles, CA, US","Trippie Redd at The Novo by Microsoft (January 15, 2018)",34.0449376,-118.2654979,0.009018,2018-01-15,19:00:00,The Novo by Microsoft
7,"Sugar Land, TX, US","G-Eazy with Phora, Trippie Redd, and Anthony Russo at Smart Financial Centre (February 15, 2018)",29.5770582,-95.6432928,0.180737,2018-02-15,20:00:00,Smart Financial Centre
8,"Irving, TX, US","G-Eazy with Phora, Trippie Redd, and Anthony Russo at Pavilion at the Toyota Music Factory (February 17, 2018)",32.8750507,-96.9445262,0.191133,2018-02-17,19:00:00,Pavilion at the Toyota Music Factory
9,"Austin, TX, US","G-Eazy with Phora, Trippie Redd, and Anthony Russo at Austin City Limits Live at The Moody Theater (February 18, 2018)",30.2653712,-97.7472955,0.181475,2018-02-18,19:00:00,Austin City Limits Live at The Moody Theater
10,"Phoenix, AZ, US","G-Eazy with Trippie Redd, Phora, and Anthony Russo at Comerica Theatre (February 20, 2018)",33.448775,-112.079564,0.182007,2018-02-20,19:30:00,Comerica Theatre
11,"Los Angeles, CA, US","G-Eazy with Phora, Trippie Redd, and Anthony Russo at The Wiltern (February 22, 2018)",34.0619389,-118.3088392,0.182856,2018-02-22,18:00:00,The Wiltern
12,"Los Angeles, CA, US","G-Eazy with Phora, Trippie Redd, and Anthony Russo at The Wiltern (February 23, 2018)",34.0619389,-118.3088392,0.183148,2018-02-23,18:00:00,The Wiltern
13,"Los Angeles, CA, US","G-Eazy with Anthony Russo, Trippie Redd, and Phora at Shrine Expo Hall (February 24, 2018)",34.0242739,-118.2806695,0.183408,2018-02-24,18:30:00,Shrine Expo Hall
14,"Las Vegas, NV, US","G-Eazy with Phora, Trippie Redd, and Anthony Russo at Park Theater, Park MGM Las Vegas (February 25, 2018)",36.1050207,-115.1735947,0.202787,2018-02-25,19:00:00,"Park Theater, Park MGM Las Vegas"
15,"San Francisco, CA, US","G-Eazy with Phora, Trippie Redd, and Anthony Russo at Bill Graham Civic Auditorium (February 28, 2018)",37.7785099,-122.4174684,0.184443,2018-02-28,20:00:00,Bill Graham Civic Auditorium
16,"Oakland, CA, US","G-Eazy with Phora, Trippie Redd, and Anthony Russo at Fox Theater (March 1, 2018)",37.8078474,-122.2699981,0.184693,2018-03-01,20:00:00,Fox Theater
17,"Kent, WA, US","G-Eazy with Phora, Trippie Redd, and Anthony Russo at ShoWare Center (March 3, 2018)",47.3867468,-122.241284,0.185181,2018-03-03,19:00:00,ShoWare Center
18,"Broomfield, CO, US","G-Eazy with Phora, Trippie Redd, and Anthony Russo at 1stBANK Center (March 6, 2018)",39.904696,-105.085281,0.186089,2018-03-06,19:00:00,1stBANK Center
19,"St. Paul, MN, US","G-Eazy with Trippie Redd, Phora, and Anthony Russo at Roy Wilkins Auditorium, St. Paul Rivercentre (March 8, 2018)",44.9434375,-93.1001445,0.186894,2018-03-08,19:00:00,"Roy Wilkins Auditorium, St. Paul Rivercentre"
20,"Chicago, IL, US","Trippie Redd with Femdot at Portage Theater (March 9, 2018)",41.9543517,-87.749032,0.015713,2018-03-09,18:00:00,Portage Theater
